ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
1,Petr,Cech,Arsenal,Goalkeeper,6,3.0,0,0,50,0,180,0,2.0,a
2,Bernd,Leno,Arsenal,Goalkeeper,0,0.0,0,0,0,0,0,0,1.8,a
3,Laurent,Koscielny,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.1,i
4,Héctor,Bellerín,Arsenal,Defender,2,1.0,0,0,33,0,180,0,12.5,a
5,Nacho,Monreal,Arsenal,Defender,1,1.0,0,0,14,0,90,0,0.8,a
6,Rob,Holding,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.6,a
7,Shkodran,Mustafi,Arsenal,Defender,1,0.5,0,0,27,0,180,0,1.2,a
8,Sead,Kolasinac,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.4,i
10,Konstantinos,Mavropanos,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.2,a
11,Stephan,Lichtsteiner,Arsenal,Defender,1,1.0,0,0,0,0,55,0,1.9,a
12,Sokratis,Papastathopoulos,Arsenal,Defender,1,0.5,0,0,26,0,180,0,2.1,a
13,Mesut,Özil,Arsenal,Midfielder,4,2.0,0,0,13,0,157,0,3.9,a
14,Aaron,Ramsey,Arsenal,Midfielder,2,1.0,0,0,9,0,75,0,1.1,a
15,Alex,Iwobi,Arsenal,Midfielder,7,7.0,1,0,30,0,74,0,1.3,a
16,Mohamed,Elneny,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,2.4,a
17,Granit,Xhaka,Arsenal,Midfielder,1,0.5,0,0,14,0,114,0,3.3,a
18,Henrikh,Mkhitaryan,Arsenal,Midfielder,14,7.0,1,1,54,0,180,0,17.6,a
19,Reiss,Nelson,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,0.7,a
20,Ainsley,Maitland-Niles,Arsenal,Midfielder,1,1.0,0,0,7,0,34,0,0.4,i
21,Danny,Welbeck,Arsenal,Forward,0,0.0,0,0,0,0,0,0,0.5,a
22,Alexandre,Lacazette,Arsenal,Forward,2,1.0,0,0,-2,0,51,0,2.9,a
23,Pierre-Emerick,Aubameyang,Arsenal,Forward,4,2.0,0,0,1,0,180,0,15.9,a
450,Lucas,Torreira,Arsenal,Midfielder,2,1.0,0,0,8,0,65,0,1.6,a
451,Matteo,Guendouzi,Arsenal,Midfielder,4,2.0,0,0,32,0,180,0,2.8,a
24,Asmir,Begovic,Bournemouth,Goalkeeper,9,4.5,0,0,37,1,180,0,4.9,a
25,Artur,Boruc,Bournemouth,Goalkeeper,0,0.0,0,0,0,0,0,0,6.9,a
26,Simon,Francis,Bournemouth,Defender,5,2.5,0,1,20,0,35,0,0.5,a
27,Steve,Cook,Bournemouth,Defender,20,10.0,1,1,67,1,180,0,7.4,a
28,Charlie,Daniels,Bournemouth,Defender,7,3.5,0,0,35,1,180,0,14.8,a
29,Adam,Smith,Bournemouth,Defender,8,4.0,0,0,43,1,180,0,0.7,a
30,Tyrone,Mings,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,0.2,a
31,Nathan,Aké,Bournemouth,Defender,10,5.0,0,0,38,1,180,0,4.1,a
32,Jack,Simpson,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,5.3,a
34,Marc,Pugh,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.6,a
35,Andrew,Surman,Bournemouth,Midfielder,5,2.5,0,0,24,1,180,0,0.3,a
36,Junior,Stanislas,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
37,Dan,Gosling,Bournemouth,Midfielder,4,2.0,0,0,16,1,180,0,0.1,a
38,Jordon,Ibe,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.4,a
39,Lewis,Cook,Bournemouth,Midfielder,1,1.0,0,0,3,0,1,0,0.3,a
40,Ryan,Fraser,Bournemouth,Midfielder,17,8.5,1,1,67,1,180,0,4.6,a
41,Emerson,Hyndman,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.1,u
42,David,Brooks,Bournemouth,Midfielder,5,2.5,0,0,14,1,143,0,0.1,a
43,Callum,Wilson,Bournemouth,Forward,14,7.0,2,1,58,1,180,0,11.4,a
44,Lys,Mousset,Bournemouth,Forward,1,1.0,0,0,3,0,1,0,0.3,a
45,Joshua,King,Bournemouth,Forward,3,1.5,0,0,4,1,179,0,5.1,a
46,Jermain,Defoe,Bournemouth,Forward,1,1.0,0,0,3,0,1,0,0.7,a
473,Diego,Rico,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,0.0,s
