ID,First Name,Second Name,Team,Gameweek Pts,Gameweek price change,Gameweek net transfer,Fixture1,Fixture2,Fixture3,Fixture4,Fixture5,Total Difficulty,Average Difficulty
1,Petr,Cech,Arsenal,3,0,5815,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
2,Bernd,Leno,Arsenal,0,-1,-15247,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
3,Laurent,Koscielny,Arsenal,0,0,-755,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
4,Héctor,Bellerín,Arsenal,1,0,-62996,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
5,Nacho,Monreal,Arsenal,1,0,4570,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
6,Rob,Holding,Arsenal,0,0,-3414,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
7,Shkodran,Mustafi,Arsenal,0,0,-7594,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
8,Sead,Kolasinac,Arsenal,0,-1,-4137,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
10,Konstantinos,Mavropanos,Arsenal,0,-1,-1318,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
11,Stephan,Lichtsteiner,Arsenal,0,-1,-20051,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
12,Sokratis,Papastathopoulos,Arsenal,1,-1,-13679,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
13,Mesut,Özil,Arsenal,2,-1,-34232,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
14,Aaron,Ramsey,Arsenal,1,0,-8138,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
15,Alex,Iwobi,Arsenal,7,0,22570,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
16,Mohamed,Elneny,Arsenal,0,-1,-13729,"WHU,2","CAR,2","NEW,3","EVE,2","WAT,2",11,2.2
