ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
1,Petr,Cech,Arsenal,Goalkeeper,10,2.5,0,0,75,0,360,0,2.2,a
2,Bernd,Leno,Arsenal,Goalkeeper,0,0.0,0,0,0,0,0,0,1.5,a
3,Laurent,Koscielny,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.1,i
4,Héctor,Bellerín,Arsenal,Defender,7,1.8,0,1,63,0,360,0,11.6,a
5,Nacho,Monreal,Arsenal,Defender,11,3.7,1,0,50,0,270,0,1.9,a
6,Rob,Holding,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.5,a
7,Shkodran,Mustafi,Arsenal,Defender,11,2.8,1,0,74,0,360,0,1.2,a
8,Sead,Kolasinac,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.3,i
10,Konstantinos,Mavropanos,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.1,a
11,Stephan,Lichtsteiner,Arsenal,Defender,1,1.0,0,0,0,0,55,0,1.4,a
12,Sokratis,Papastathopoulos,Arsenal,Defender,3,0.8,0,0,48,0,360,0,1.7,a
13,Mesut,Özil,Arsenal,Midfielder,6,2.0,0,0,21,0,240,0,2.8,a
14,Aaron,Ramsey,Arsenal,Midfielder,6,1.5,0,0,39,0,255,0,1.1,a
15,Alex,Iwobi,Arsenal,Midfielder,11,5.5,1,1,46,0,119,0,1.7,d
16,Mohamed,Elneny,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,2.3,a
17,Granit,Xhaka,Arsenal,Midfielder,7,1.8,0,1,46,0,294,0,2.7,a
18,Henrikh,Mkhitaryan,Arsenal,Midfielder,17,4.3,1,1,58,0,271,0,19.3,a
19,Reiss,Nelson,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,0.7,u
20,Ainsley,Maitland-Niles,Arsenal,Midfielder,1,1.0,0,0,7,0,34,0,0.3,i
21,Danny,Welbeck,Arsenal,Forward,9,4.5,1,0,33,0,21,0,0.6,a
22,Alexandre,Lacazette,Arsenal,Forward,18,4.5,1,2,52,0,186,0,3.0,a
23,Pierre-Emerick,Aubameyang,Arsenal,Forward,14,3.5,1,0,46,0,342,0,13.3,a
450,Lucas,Torreira,Arsenal,Midfielder,7,1.8,0,1,42,0,119,0,1.4,a
451,Matteo,Guendouzi,Arsenal,Midfielder,6,1.5,0,0,59,0,304,0,3.4,a
24,Asmir,Begovic,Bournemouth,Goalkeeper,12,3.0,0,0,59,1,360,0,4.7,a
25,Artur,Boruc,Bournemouth,Goalkeeper,0,0.0,0,0,0,0,0,0,6.7,a
26,Simon,Francis,Bournemouth,Defender,6,2.0,0,1,31,0,125,0,0.4,a
27,Steve,Cook,Bournemouth,Defender,22,5.5,1,1,91,1,360,0,9.0,a
28,Charlie,Daniels,Bournemouth,Defender,8,2.7,0,0,42,1,270,0,11.8,d
29,Adam,Smith,Bournemouth,Defender,8,2.0,0,0,56,1,319,0,0.6,a
30,Tyrone,Mings,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,0.2,a
31,Nathan,Aké,Bournemouth,Defender,19,4.8,1,0,68,1,360,0,4.6,a
32,Jack,Simpson,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,4.8,a
34,Marc,Pugh,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.5,d
35,Andrew,Surman,Bournemouth,Midfielder,7,2.3,0,0,37,1,255,0,0.3,a
36,Junior,Stanislas,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.0,i
37,Dan,Gosling,Bournemouth,Midfielder,7,1.8,0,0,29,1,360,0,0.1,a
38,Jordon,Ibe,Bournemouth,Midfielder,2,1.0,0,0,4,0,36,0,0.3,a
39,Lewis,Cook,Bournemouth,Midfielder,3,1.0,0,0,12,0,17,0,0.2,a
40,Ryan,Fraser,Bournemouth,Midfielder,21,5.3,1,1,91,1,360,0,5.8,a
41,Emerson,Hyndman,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.0,u
42,David,Brooks,Bournemouth,Midfielder,7,2.3,0,0,23,1,207,0,0.1,a
43,Callum,Wilson,Bournemouth,Forward,24,6.0,2,3,61,1,360,0,15.7,a
44,Lys,Mousset,Bournemouth,Forward,3,1.0,0,0,8,0,12,0,0.2,a
45,Joshua,King,Bournemouth,Forward,14,3.5,1,0,38,1,348,0,3.9,a
46,Jermain,Defoe,Bournemouth,Forward,1,1.0,0,0,3,0,1,0,0.6,a
473,Diego,Rico,Bournemouth,Defender,1,1.0,0,0,23,0,90,0,0.0,a
494,Jefferson,Lerma,Bournemouth,Midfielder,1,1.0,0,0,7,0,87,0,0.2,a
