Entry,Name,Total points,Gameweek Points,Gameweek Hits,Rank,Last Rank,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Captain,V Captain,Bank amount,Team Value,Gameweek Transfers
2621075,Luke know nuffink,373,64,0,1,1,260,247,115,267,233,251,393,304,302,280,417,400,113,138,493,280,417,0.1,101.7,0
2554389,高普朋友隊,358,70,0,2,10,468,357,267,72,115,251,459,433,253,437,280,454,265,304,189,280,267,2.1,99.9,0
2415205,Roxrite_89,357,68,0,3,3,468,267,357,247,115,145,253,433,391,280,480,136,295,86,182,280,253,1.6,100.4,0
2272216,ChelseaFromEngland,354,75,0,4,36,468,115,357,267,330,125,365,251,478,480,280,282,437,338,334,251,280,1.5,100.4,0
3144802,Mancunian Devils,350,61,0,5,9,154,267,115,247,253,251,393,433,151,177,280,24,459,145,95,280,253,1.0,101.1,0
3590375,yibbida-yibbida,349,50,0,6,2,468,115,262,357,162,253,251,459,164,280,480,47,45,182,93,280,253,0.0,101.4,0
3369418,m saad,349,64,0,7,18,468,246,357,267,122,275,251,18,43,280,480,136,145,303,196,280,275,1.1,100.8,0
2852523,Alvheim FC,347,61,0,8,15,282,267,247,142,276,253,164,18,393,151,280,24,138,189,27,280,253,0.4,101.2,2
3517112,Kebhali lou,347,59,0,9,10,351,291,267,355,433,225,251,276,45,151,280,24,295,116,27,280,295,0.2,101.7,0
1298148,Jonah's Dream,345,65,0,10,31,490,247,262,221,370,432,276,251,40,280,45,400,506,28,480,280,251,1.1,100.2,1
3818718,Chichibio e la gru,345,66,0,10,36,260,113,115,246,242,251,59,150,393,480,280,498,265,85,199,280,251,0.4,100.9,0
1351775,El Professor,344,64,0,12,31,490,267,115,247,274,251,253,393,417,280,87,135,410,378,145,280,253,0.5,101.6,0
2702629,Niall Might Do It,344,51,0,13,3,282,72,357,267,253,251,393,433,480,280,45,422,150,145,52,280,253,0.4,101.7,0
559679,Wrong Direction,343,71,0,14,64,282,247,246,267,459,393,297,251,177,280,417,490,295,28,145,280,295,1.3,100.8,0
4075100,BANGLADESh,342,59,0,15,23,400,28,245,247,40,365,253,122,280,43,177,47,145,138,147,280,253,0.4,101.6,2
642529,Alonso,342,51,0,16,7,260,247,291,267,253,370,251,393,233,280,417,190,427,189,145,280,253,0.0,101.9,0
2995004,Vikings,342,60,0,17,26,154,357,116,267,247,253,393,125,251,433,280,454,151,189,427,280,253,0.0,102.3,0
3616421,AT239401,342,54,0,18,12,445,357,247,267,251,253,393,370,45,280,151,509,145,95,167,280,253,0.7,101.0,0
191612,ŚlunskiWurszt,341,65,0,19,71,260,286,247,267,253,370,125,393,251,280,45,155,145,189,335,280,253,0.3,101.9,0
2281737,Alyan team,341,65,0,19,64,468,267,247,116,27,70,251,365,393,43,280,24,295,189,413,280,251,1.2,101.6,1
3461699,DanBenScott,341,62,0,19,36,260,115,356,247,220,272,393,433,253,251,280,400,480,145,189,280,253,0.2,101.9,0
582028,Harry’s Golden Boot,341,49,0,22,6,260,247,355,246,267,251,304,164,280,372,43,445,70,433,56,280,372,0.0,101.8,0
1887060,rodders utd,341,72,0,23,124,282,267,330,115,28,251,256,393,480,280,43,24,295,338,9,280,393,0.0,101.6,0
2491042,ChickenTikkaM’Salah,341,83,0,23,805,490,267,247,115,370,433,251,275,43,257,280,2,478,140,428,280,257,0.8,100.8,0
2614408,Van The Man,340,56,0,25,21,24,247,115,90,357,253,393,251,433,280,480,47,478,258,423,280,253,0.3,101.4,0
3480965,Marrakesh Zoots,340,61,0,26,36,260,247,357,267,253,251,393,391,151,280,45,445,145,56,95,280,253,0.2,101.8,0
2423073,lian raad,340,67,0,27,51,351,247,267,286,251,370,297,393,417,280,257,454,115,99,145,280,351,4.1,98.4,1
1511013,Smarradona FC,339,65,0,28,94,260,245,267,115,141,435,393,253,122,251,280,190,145,189,524,280,253,0.0,101.5,0
3980726,PdawgFC,339,55,0,29,22,400,291,267,247,251,253,393,370,151,280,45,445,95,167,145,280,253,0.3,101.6,0
1934894,Khaled Mawenya FC,339,65,0,30,101,260,247,4,267,253,393,433,251,417,480,280,400,456,28,427,280,253,0.7,101.4,0
2887772,OscarQuavoSkrrrt,339,65,0,30,101,282,357,115,267,145,459,393,370,251,280,257,136,295,189,140,280,295,0.1,101.9,0
