Entry,Name,Total points,Gameweek Points,Gameweek Hits,Rank,Last Rank,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Captain,V Captain,Bank amount,Team Value,Gameweek Transfers
2367559,BigNyyy,277,69,0,48,596,468,245,267,115,72,357,253,271,393,280,417,136,480,435,518,280,253,0.0,100.9,1
497803,Sons,277,62,0,49,157,260,267,247,286,115,393,364,253,280,417,177,190,80,145,451,280,417,0.0,101.1,1
2712245,HimbyTeam,277,68,0,49,542,260,115,247,267,182,253,251,393,417,280,151,400,95,56,145,280,253,0.0,101.4,1
219012,Connor Coadys Hair,277,59,0,51,88,260,246,267,116,125,253,251,164,40,437,280,490,423,480,145,253,164,0.0,101.5,1
588892,SuperCally,277,68,0,51,484,445,357,247,267,393,253,276,251,45,280,480,400,105,145,335,280,253,0.0,101.4,1
1273839,käÿü bäkäü fc,277,51,4,51,14,260,247,267,378,18,393,126,302,253,280,417,400,484,145,151,280,126,1.6,99.9,2
1386175,Phil FC,277,76,0,51,2408,351,115,247,267,357,393,251,274,253,280,417,155,458,145,109,267,280,0.0,101.5,1
1428837,BingoWings,277,72,0,51,1135,468,357,267,247,29,453,391,253,393,417,280,24,72,258,150,280,253,0.3,100.7,0
1513289,Shaq Attack,277,59,0,51,78,445,115,267,247,124,253,251,393,433,280,151,400,145,48,209,280,253,0.0,101.6,0
2423073,lian raad,277,69,0,51,693,351,247,267,286,251,370,297,393,417,280,257,454,115,99,145,280,351,0.0,101.7,0
3175781,Ciorne Szpekulanty,277,66,0,51,370,260,357,246,267,40,364,251,391,189,280,45,136,335,295,145,280,364,1.3,99.6,0
4367669,Cobra Kai,277,55,0,51,36,260,247,267,27,253,251,393,432,480,280,437,328,95,182,145,280,253,0.5,100.7,0
2452956,Söders Guldkorn,277,59,0,60,98,468,267,247,115,286,276,251,393,167,177,280,445,145,124,480,280,251,3.0,98.8,1
2718404,1 United,277,57,0,60,26,400,28,247,267,276,253,251,393,433,280,151,445,43,145,138,280,267,0.1,101.8,1
3184065,Los Barlados,277,57,0,60,64,400,221,378,247,18,253,276,393,251,177,280,445,95,189,145,280,253,0.5,100.1,0
1774411,Bix,276,52,0,63,22,490,247,267,115,410,253,251,393,18,280,177,400,142,145,189,280,267,0.0,101.5,0
227699,Gunners N Roses,276,73,4,64,1914,260,247,267,115,220,253,150,393,251,459,280,25,480,145,189,280,253,0.1,101.3,3
233118,A-m3ijl,276,62,0,64,198,351,247,267,115,370,302,251,124,393,417,280,190,43,145,427,280,251,2.6,99.2,1
559679,Wrong Direction,276,46,0,64,7,282,247,246,267,459,393,297,251,177,280,417,490,295,28,145,280,295,0.5,101.2,0
1978803,behdad11,276,57,0,64,65,260,115,357,286,276,251,253,393,437,45,280,439,334,427,433,280,253,0.5,100.3,1
2281737,Alyan team,276,64,0,64,314,468,267,247,116,27,70,251,365,393,43,280,24,295,189,413,280,251,0.9,100.8,1
2814461,Jay Paints FC,276,68,0,64,693,260,72,247,267,251,370,253,393,45,151,280,400,167,145,95,280,253,0.8,100.4,2
3827221,New ahly,276,70,0,64,1052,260,286,267,357,253,17,433,251,151,417,280,400,82,142,405,280,253,0.0,100.7,0
191612,ŚlunskiWurszt,276,62,0,71,198,260,286,247,267,253,370,125,393,251,280,45,155,145,189,335,280,253,0.3,101.0,0
1242674,Morties,276,62,0,71,217,260,357,286,267,251,233,393,253,370,280,177,136,332,109,145,280,253,0.0,101.2,0
2300346,SuperMalik,276,74,0,71,2264,468,357,378,70,251,393,276,253,480,280,326,445,17,48,335,280,276,0.4,100.3,0
2386561,elnagdy,276,75,0,71,2697,282,113,247,357,115,18,433,393,251,280,177,468,265,410,480,280,282,0.7,100.7,1
2440508,BunnyAyumi,276,64,0,71,314,445,357,267,247,253,251,370,393,43,280,151,400,145,167,52,280,253,0.0,101.4,0
2963479,Victorious Secret,276,70,0,71,947,400,357,247,267,251,370,253,393,417,45,280,454,145,56,52,280,251,0.2,101.1,1
3032077,EtshElkoraElmasreya,276,77,0,71,4015,260,267,246,72,357,433,251,253,125,280,43,190,218,19,480,253,280,2.0,99.2,0
3289197,Pihls11,276,60,0,71,122,400,247,70,115,267,433,253,126,393,280,257,47,152,18,145,280,253,0.4,100.9,0
3323079,alas smalling&jones,276,63,0,71,233,260,267,113,115,357,318,393,225,251,480,280,154,73,249,417,280,251,0.5,101.1,0
3852576,Annihalators XI,276,73,0,80,750,282,115,357,267,433,253,122,182,393,280,43,498,145,138,189,280,253,0.0,101.3,0
1206813,The Invincibles,275,51,0,81,22,468,267,247,115,393,276,122,18,251,280,177,25,145,32,189,280,276,0.5,101.2,0
