ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
56,Dale,Stephens,Brighton,Midfielder,5,1.7,0,0,38,0,270,0,8.5,a
57,Beram,Kayal,Brighton,Midfielder,1,1.0,0,0,3,0,1,0,0.1,a
58,Solomon,March,Brighton,Midfielder,9,3.0,0,1,33,0,234,0,0.1,a
59,Pascal,Groß,Brighton,Midfielder,12,4.0,1,0,39,0,158,0,5.2,a
60,Davy,Pröpper,Brighton,Midfielder,6,2.0,0,0,27,0,270,0,0.1,a
61,José Heriberto,Izquierdo Mena,Brighton,Midfielder,0,0.0,0,0,0,0,0,0,0.1,i
62,Glenn,Murray,Brighton,Forward,9,3.0,1,0,16,0,270,0,0.8,a
63,Tomer,Hemed,Brighton,Forward,0,0.0,0,0,0,0,0,0,0.2,n
64,Sam,Baldock,Brighton,Forward,0,0.0,0,0,0,0,0,0,0.4,u
65,Jürgen,Locadia,Brighton,Forward,2,1.0,0,0,6,0,16,0,0.1,a
66,Florin,Andone,Brighton,Forward,0,0.0,0,0,0,0,0,0,0.1,i
179,David,Button,Brighton,Goalkeeper,0,0.0,0,0,0,0,0,0,1.7,a
439,Jason,Steele,Brighton,Goalkeeper,0,0.0,0,0,0,0,0,0,1.5,a
440,Bernardo,Fernandes da Silva Junior,Brighton,Defender,0,0.0,0,0,11,0,90,0,0.2,a
466,Yves,Bissouma,Brighton,Midfielder,3,1.5,0,0,10,0,109,0,0.0,a
476,Alireza,Jahanbakhsh,Brighton,Midfielder,2,1.0,0,0,7,0,33,0,1.0,a
503,Martín,Montoya,Brighton,Defender,3,1.5,0,0,21,0,180,0,0.2,a
67,Tom,Heaton,Burnley,Goalkeeper,0,0.0,0,0,0,0,0,0,0.1,a
68,Nick,Pope,Burnley,Goalkeeper,0,0.0,0,0,0,0,0,0,0.3,i
69,Matthew,Lowton,Burnley,Defender,7,2.3,0,0,62,1,270,0,0.7,a
70,Ben,Mee,Burnley,Defender,12,4.0,0,1,64,1,270,0,4.5,a
71,Stephen,Ward,Burnley,Defender,7,2.3,0,0,44,1,228,0,2.0,a
72,James,Tarkowski,Burnley,Defender,19,6.3,2,0,78,1,270,0,10.0,a
