ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
1,Petr,Cech,Arsenal,Goalkeeper,3,3.0,0,0,24,0,90,0,1.7,a
2,Bernd,Leno,Arsenal,Goalkeeper,0,0.0,0,0,0,0,0,0,2.3,a
3,Laurent,Koscielny,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.1,i
4,Héctor,Bellerín,Arsenal,Defender,1,1.0,0,0,17,0,90,0,14.7,a
5,Nacho,Monreal,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.8,d
6,Rob,Holding,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.7,a
7,Shkodran,Mustafi,Arsenal,Defender,1,1.0,0,0,16,0,90,0,1.4,a
8,Sead,Kolasinac,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.5,i
10,Konstantinos,Mavropanos,Arsenal,Defender,0,0.0,0,0,0,0,0,0,0.2,a
11,Stephan,Lichtsteiner,Arsenal,Defender,1,1.0,0,0,0,0,55,0,2.4,a
12,Sokratis,Papastathopoulos,Arsenal,Defender,0,0.0,0,0,13,0,90,0,2.5,a
13,Mesut,Özil,Arsenal,Midfielder,2,2.0,0,0,10,0,90,0,4.9,a
14,Aaron,Ramsey,Arsenal,Midfielder,1,1.0,0,0,7,0,53,0,1.4,a
15,Alex,Iwobi,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,0.7,a
16,Mohamed,Elneny,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,2.7,a
17,Granit,Xhaka,Arsenal,Midfielder,1,1.0,0,0,10,0,69,0,4.4,a
18,Henrikh,Mkhitaryan,Arsenal,Midfielder,2,2.0,0,0,11,0,90,0,12.7,a
19,Reiss,Nelson,Arsenal,Midfielder,0,0.0,0,0,0,0,0,0,0.8,a
20,Ainsley,Maitland-Niles,Arsenal,Midfielder,1,1.0,0,0,7,0,34,0,0.6,d
21,Danny,Welbeck,Arsenal,Forward,0,0.0,0,0,0,0,0,0,0.5,d
22,Alexandre,Lacazette,Arsenal,Forward,1,1.0,0,0,-4,0,36,0,4.0,a
23,Pierre-Emerick,Aubameyang,Arsenal,Forward,2,2.0,0,0,5,0,90,0,19.0,a
450,Lucas,Torreira,Arsenal,Midfielder,1,1.0,0,0,5,0,20,0,1.9,a
451,Matteo,Guendouzi,Arsenal,Midfielder,2,2.0,0,0,15,0,90,0,1.4,a
24,Asmir,Begovic,Bournemouth,Goalkeeper,6,6.0,0,0,21,1,90,0,4.9,a
25,Artur,Boruc,Bournemouth,Goalkeeper,0,0.0,0,0,0,0,0,0,7.3,a
26,Simon,Francis,Bournemouth,Defender,4,4.0,0,1,15,0,23,0,0.5,a
27,Steve,Cook,Bournemouth,Defender,6,6.0,0,0,25,1,90,0,1.5,a
28,Charlie,Daniels,Bournemouth,Defender,5,5.0,0,0,22,1,90,0,17.2,a
29,Adam,Smith,Bournemouth,Defender,6,6.0,0,0,25,1,90,0,0.6,a
30,Tyrone,Mings,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,0.2,a
31,Nathan,Aké,Bournemouth,Defender,8,8.0,0,0,33,1,90,0,4.1,a
32,Jack,Simpson,Bournemouth,Defender,0,0.0,0,0,0,0,0,0,5.7,a
34,Marc,Pugh,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.7,a
35,Andrew,Surman,Bournemouth,Midfielder,3,3.0,0,0,8,1,90,0,0.4,a
36,Junior,Stanislas,Bournemouth,Midfielder,0,0.0,0,0,0,0,0,0,0.1,i
